,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,1,0,0,0,0,1
2,0,2,0,0,1,0,0,0,0,0
3,1,2,0,0,1,0,0,0,0,8
4,1,2,0,0,1,0,0,0,2,3
5,1,2,0,1,1,0,0,0,2,6
6,1,2,0,1,1,0,2,0,2,5
7,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,3
9,1,0,0,2,0,0,0,0,0,4
10,1,0,0,2,1,0,0,0,0,6
11,1,0,0,2,1,0,2,0,0,1
12,1,1,0,2,1,0,2,0,0,8
13,1,1,0,2,1,0,2,0,2,5
14,1,1,0,2,1,1,2,0,2,7
15,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,5
17,1,0,0,0,0,2,0,0,0,1
18,1,1,0,0,0,2,0,0,0,6
19,1,1,0,0,0,2,2,0,0,2
20,0,0,0,0,0,0,0,0,0,4
21,0,0,0,0,1,0,0,0,0,2
22,0,0,2,0,1,0,0,0,0,0
23,1,0,2,0,1,0,0,0,0,1
24,1,2,2,0,1,0,0,0,0,8
25,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,4
27,1,0,0,0,2,0,0,0,0,5
28,1,0,0,0,2,1,0,0,0,6
29,1,0,0,0,2,1,2,0,0,2
30,1,0,1,0,2,1,2,0,0,1
31,1,2,1,0,2,1,2,0,0,7
32,1,2,1,0,2,1,2,1,0,8
33,1,2,1,0,2,1,2,1,2,3
34,0,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,5
36,1,0,0,0,0,2,0,0,0,4
37,1,0,0,0,1,2,0,0,0,6
38,1,0,0,0,1,2,2,0,0,1
39,1,1,0,0,1,2,2,0,0,7
40,1,1,0,0,1,2,2,2,0,2
41,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,4
43,1,0,0,0,2,0,0,0,0,2
44,1,0,1,0,2,0,0,0,0,1
45,1,2,1,0,2,0,0,0,0,3
46,1,2,1,1,2,0,0,0,0,6
47,1,2,1,1,2,0,2,0,0,7
48,1,2,1,1,2,0,2,1,0,8
49,1,2,1,1,2,0,2,1,2,5
50,0,0,0,0,0,0,0,0,0,2
51,0,0,1,0,0,0,0,0,0,4
52,0,0,1,0,2,0,0,0,0,0
53,1,0,1,0,2,0,0,0,0,1
54,1,2,1,0,2,0,0,0,0,3
55,1,2,1,1,2,0,0,0,0,6
56,1,2,1,1,2,0,2,0,0,7
57,1,2,1,1,2,0,2,1,0,8
58,1,2,1,1,2,0,2,1,2,5
59,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,4
61,1,0,0,0,2,0,0,0,0,6
62,1,0,0,0,2,0,1,0,0,3
63,1,0,0,2,2,0,1,0,0,5
64,1,0,0,2,2,1,1,0,0,7
65,1,0,0,2,2,1,1,2,0,1
66,1,1,0,2,2,1,1,2,0,2
67,1,1,2,2,2,1,1,2,0,8
68,0,0,0,0,0,0,0,0,0,0
